"case","timeframe","eventSelector","sourceJobId","dimensions","cell","eventCount","uniqueTickerCount","horizonSessions","eligibleCount","unavailableCount","smallSample","meanReturn","medianReturn","positiveReturnRatio","q25Return","q75Return","medianMfe","medianMae"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S3""}","445","241","120","445","0","false","0.076489329410654","0.04341534008683068","0.597752808988764","-0.05223478729133013","0.17193698288563986","0.13588850174216027","-0.13592233009708743"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S3""}","445","241","245","445","0","false","0.24277663278941328","0.19114391143911447","0.7078651685393258","-0.029772681553007496","0.41521739130434776","0.289922480620155","-0.15108564535585045"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S4""}","777","356","20","777","0","false","0.015458094699602427","0.00540540540540535","0.5366795366795367","-0.030267753201396963","0.0495537088334872","0.04950495049504955","-0.03504560729716755"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S4""}","777","356","60","777","0","false","0.02184342307728096","0.014173228346456623","0.5546975546975547","-0.04988878296790589","0.0786516853932584","0.08287895310796078","-0.07709170624771644"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S4""}","777","356","120","777","0","false","0.06976380373404432","0.03683709114004441","0.6267696267696268","-0.04633431085043993","0.14047109207708774","0.1296605453533668","-0.12911213300318358"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S4""}","777","356","245","775","2","false","0.28189448040990595","0.2127981825066263","0.8103225806451613","0.04405360778878564","0.42512738689860385","0.31137724550898205","-0.14648910411622273"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S5""}","217","120","20","217","0","false","0.004322561005610436","0.009320175438596534","0.5714285714285714","-0.032786885245901676","0.046391752577319645","0.05043859649122817","-0.03310980720871748"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S5""}","217","120","60","217","0","false","0.007154172769675553","0.002086811352253859","0.5069124423963134","-0.06500956022944548","0.07223942208462342","0.07786885245901631","-0.1085644007155635"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S5""}","217","120","120","217","0","false","0.08412074618690595","0.06172839506172845","0.6820276497695853","-0.03512396694214881","0.17732033224990973","0.11971830985915499","-0.15137067938021453"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S5""}","217","120","245","217","0","false","0.359185643874714","0.28606597735105854","0.8248847926267281","0.08164915117219085","0.57811080835604","0.3767326732673266","-0.1553459119496855"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S6""}","78","46","20","78","0","false","0.014385837977366176","0.0033238805502460167","0.5128205128205128","-0.02312349118129245","0.05196570549162399","0.0529664311739092","-0.032405880448079794"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S6""}","78","46","60","78","0","false","0.005727358713956667","-0.016230332671026693","0.44871794871794873","-0.07632554269722414","0.07787290477579184","0.075218624709812","-0.15344091432427015"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S6""}","78","46","120","78","0","false","0.09708633478596397","0.0654387028318042","0.6410256410256411","-0.03442450648084838","0.20968887278492798","0.12067128364011903","-0.17943716268311488"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S6""}","78","46","245","78","0","false","0.34809243355239095","0.31826089659164636","0.8717948717948718","0.10619211546015372","0.5102702702702703","0.3946052351564163","-0.17943716268311488"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""UNKNOWN""}","2","2","20","2","0","true","0.061527418891759944","0.061527418891759944","0.5","0.01903531438415157","0.10401952339936832","0.10130634510479464","-0.02055699109962672"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""UNKNOWN""}","2","2","60","2","0","true","0.028308929084122914","0.028308929084122914","0.5","-0.038931955211024966","0.09554981337927079","0.1629342520815389","-0.0995693367786391"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""UNKNOWN""}","2","2","120","2","0","true","0.13705139247774906","0.13705139247774906","0.5","0.03580964685615848","0.23829313809933964","0.18153890324432953","-0.0995693367786391"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""UNKNOWN""}","2","2","245","2","0","true","0.5425638817111685","0.5425638817111685","1","0.3533807062876831","0.731747057134654","0.5574217628481195","-0.0995693367786391"
"monthly1y_zone_monthA","MONTHLY","IN_ZONE_ENTERED","0d899c61-2b09-4116-9376-fbfb7ad6fc4b","stage:monthA","{""stage:monthA"":""S1""}","85","72","20","85","0","false","0.029328239851679015","0.018164881229622676","0.6588235294117647","-0.017022817819630554","0.06278613472858074","0.06453653906991441","-0.03658094893154651"
"monthly1y_zone_monthA","MONTHLY","IN_ZONE_ENTERED","0d899c61-2b09-4116-9376-fbfb7ad6fc4b","stage:monthA","{""stage:monthA"":""S1""}","85","72","60","85","0","false","0.029263830361289985","0.020246478873239493","0.5647058823529412","-0.04901574803149611","0.11755725190839694","0.1032608695652173","-0.11216730038022815"
